
2022/09/25 (19:06:51) | ===> btop++ v.1.2.9
2022/09/25 (19:06:51) | ERROR: Invalid size of hex value: CC1E1E2E

2022/09/25 (19:06:58) | ===> btop++ v.1.2.9
2022/09/25 (19:06:58) | ERROR: Invalid size of hex value: CC1E1E2E

2022/09/27 (20:29:39) | ===> btop++ v.1.2.9
2022/09/27 (20:29:39) | ERROR: Invalid size of hex value: CC1E1E2E

2022/11/08 (07:32:40) | ===> btop++ v.1.2.12
2022/11/08 (07:32:40) | ERROR: Invalid size of hex value: CC1E1E2E

2022/11/08 (10:26:50) | ===> btop++ v.1.2.12
2022/11/08 (10:26:50) | ERROR: Invalid size of hex value: CC1E1E2E

2022/11/08 (10:27:35) | ===> btop++ v.1.2.12
2022/11/08 (10:27:35) | ERROR: Invalid size of hex value: CC1E1E2E

2022/11/08 (10:31:10) | ===> btop++ v.1.2.12
2022/11/08 (10:31:10) | ERROR: Invalid size of hex value: CC1E1E2E
